rule,date,month,race_code,venue,race,p109,head_hit,rank_l50,actual_combo,payout100
P75-center,2026-03-11,2026-03,202603110512,05,12R,0.75818097,1,5,1-3-2,950
P75-center,2026-03-12,2026-03,202603120801,08,01R,0.77181474,0,0,3-1-2,4480
P75-center,2026-03-12,2026-03,202603121404,14,04R,0.77965951,1,2,1-2-3,490
P75-center,2026-03-12,2026-03,202603121403,14,03R,0.78059417,1,6,1-3-4,730
P75-center,2026-03-12,2026-03,202603121401,14,01R,0.76936466,1,2,1-4-2,1330
P75-center,2026-03-12,2026-03,202603120708,07,08R,0.78172278,1,1,1-2-5,420
P75-center,2026-03-13,2026-03,202603130806,08,06R,0.77569857,0,0,6-3-1,10100
P75-center,2026-03-13,2026-03,202603130511,05,11R,0.77842353,1,2,1-2-3,400
P75-center,2026-03-13,2026-03,202603132101,21,01R,0.78126919,1,1,1-2-4,1050
P75-center,2026-03-13,2026-03,202603131811,18,11R,0.7815249,1,3,1-4-2,730
P75-center,2026-03-13,2026-03,202603131405,14,05R,0.78686012,0,0,4-6-3,15110
P75-center,2026-03-14,2026-03,202603142104,21,04R,0.77410175,1,13,1-5-6,2090
P75-center,2026-03-14,2026-03,202603140510,05,10R,0.77387174,1,10,1-3-2,1030
P75-center,2026-03-14,2026-03,202603141610,16,10R,0.7776842,0,0,5-1-6,16300
P75-center,2026-03-14,2026-03,202603141606,16,06R,0.76919733,1,1,1-2-3,440
P75-center,2026-03-14,2026-03,202603141303,13,03R,0.78104455,0,0,5-1-4,50230
P75-center,2026-03-15,2026-03,202603151310,13,10R,0.77585332,1,6,1-2-5,2320
P75-center,2026-03-15,2026-03,202603152009,20,09R,0.780058,1,1,1-2-6,660
P75-center,2026-03-15,2026-03,202603150708,07,08R,0.78183614,1,8,1-4-5,1490
P75-center,2026-03-15,2026-03,202603151909,19,09R,0.76776078,1,6,1-6-5,3500
P75-center,2026-03-15,2026-03,202603150604,06,04R,0.76152011,1,9,1-3-2,930
P75-center,2026-03-16,2026-03,202603161601,16,01R,0.77185016,1,11,1-6-3,450
P75-center,2026-03-16,2026-03,202603160710,07,10R,0.7792525,1,1,1-2-3,450
P75-center,2026-03-16,2026-03,202603160309,03,09R,0.7676448,1,11,1-3-6,3240
P75-center,2026-03-16,2026-03,202603161002,10,02R,0.76743657,0,0,2-1-6,6860
P75-center,2026-03-16,2026-03,202603160607,06,07R,0.76683809,1,1,1-4-3,630
P75-center,2026-03-17,2026-03,202603170702,07,02R,0.76778083,0,0,2-1-3,4210
P75-center,2026-03-17,2026-03,202603171705,17,05R,0.78432263,0,0,2-1-4,3090
P75-center,2026-03-17,2026-03,202603170707,07,07R,0.76183092,1,11,1-4-2,7940
P75-center,2026-03-17,2026-03,202603172301,23,01R,0.75838394,1,4,1-3-2,1270
P75-center,2026-03-17,2026-03,202603170708,07,08R,0.75544279,1,8,1-2-3,1590
P75-center,2026-03-18,2026-03,202603181312,13,12R,0.7745165,1,1,1-2-3,550
P75-center,2026-03-18,2026-03,202603181301,13,01R,0.79103626,1,20,1-6-3,17640
P75-center,2026-03-18,2026-03,202603180306,03,06R,0.79493798,1,10,1-3-4,3720
P75-center,2026-03-18,2026-03,202603182404,24,04R,0.75471419,1,1,1-2-3,420
P75-center,2026-03-18,2026-03,202603182008,20,08R,0.79558499,1,2,1-3-2,430
P75-center,2026-03-19,2026-03,202603191712,17,12R,0.77044794,1,1,1-4-3,820
P75-center,2026-03-19,2026-03,202603190106,01,06R,0.78079081,1,1,1-2-5,570
P75-center,2026-03-19,2026-03,202603191412,14,12R,0.76803345,0,0,5-1-3,5780
P75-center,2026-03-19,2026-03,202603191302,13,02R,0.76612088,1,1,1-2-4,800
P75-center,2026-03-19,2026-03,202603190207,02,07R,0.78750332,0,0,4-1-6,5680
P75-center,2026-03-20,2026-03,202603201911,19,11R,0.77686182,1,5,1-2-5,1640
P75-center,2026-03-20,2026-03,202603202311,23,11R,0.77717952,1,9,1-4-5,2000
P75-center,2026-03-20,2026-03,202603201606,16,06R,0.77744755,1,1,1-4-2,760
P75-center,2026-03-20,2026-03,202603202008,20,08R,0.77846447,1,1,1-2-3,370
P75-center,2026-03-20,2026-03,202603201909,19,09R,0.77860744,0,0,4-1-5,3420
P75-center,2026-03-21,2026-03,202603212306,23,06R,0.77490892,1,5,1-2-3,730
P75-center,2026-03-21,2026-03,202603212412,24,12R,0.77270694,0,0,2-1-6,2630
P75-center,2026-03-21,2026-03,202603212008,20,08R,0.78257295,1,1,1-2-3,480
P75-center,2026-03-21,2026-03,202603210108,01,08R,0.78278223,0,0,5-1-2,4090
P75-center,2026-03-21,2026-03,202603211801,18,01R,0.76694732,1,2,1-5-4,4470
P75-center,2026-03-22,2026-03,202603221910,19,10R,0.77353871,0,0,5-3-4,5160
P75-center,2026-03-22,2026-03,202603222004,20,04R,0.783875,1,15,1-2-5,13450
P75-center,2026-03-22,2026-03,202603221609,16,09R,0.78430758,1,2,1-2-3,320
P75-center,2026-03-22,2026-03,202603222305,23,05R,0.76527178,1,9,1-5-2,2650
P75-center,2026-03-22,2026-03,202603220801,08,01R,0.78603894,1,12,1-3-5,2730
P75-center,2026-03-23,2026-03,202603230506,05,06R,0.7782795,0,0,5-2-4,43960
P75-center,2026-03-23,2026-03,202603231505,15,05R,0.77889417,0,0,4-1-6,7960
P75-center,2026-03-23,2026-03,202603231511,15,11R,0.77990387,1,10,1-4-3,1700
P75-center,2026-03-23,2026-03,202603230809,08,09R,0.77993573,1,10,1-3-2,990
P75-center,2026-03-23,2026-03,202603230810,08,10R,0.78405956,1,9,1-3-6,3000
P75-center,2026-03-24,2026-03,202603241312,13,12R,0.77947612,0,0,4-1-3,17400
P75-center,2026-03-24,2026-03,202603240706,07,06R,0.76932821,1,2,1-2-3,680
P75-center,2026-03-24,2026-03,202603241004,10,04R,0.76835267,1,10,1-2-3,2140
P75-center,2026-03-24,2026-03,202603241812,18,12R,0.7613806,1,2,1-2-3,400
P75-center,2026-03-24,2026-03,202603241810,18,10R,0.7612327,1,10,1-3-2,1270
P75-center,2026-03-25,2026-03,202603251312,13,12R,0.77483437,1,1,1-2-5,810
P75-center,2026-03-25,2026-03,202603251801,18,01R,0.77554166,1,2,1-2-3,900
P75-center,2026-03-25,2026-03,202603251508,15,08R,0.7733696,1,5,1-2-5,3440
P75-center,2026-03-25,2026-03,202603251003,10,03R,0.77919173,1,4,1-3-2,430
P75-center,2026-03-25,2026-03,202603252211,22,11R,0.77981866,1,6,1-3-2,880
P75-center,2026-03-26,2026-03,202603260405,04,05R,0.77531882,1,6,1-6-5,3340
P75-center,2026-03-26,2026-03,202603260910,09,10R,0.77441876,1,1,1-2-5,560
P75-center,2026-03-26,2026-03,202603261211,12,11R,0.77730635,1,2,1-2-3,350
P75-center,2026-03-26,2026-03,202603261905,19,05R,0.77874074,1,10,1-5-4,3460
P75-center,2026-03-26,2026-03,202603261908,19,08R,0.76557611,1,6,1-4-2,1140
P75-center,2026-03-27,2026-03,202603270908,09,08R,0.7792475,0,0,4-1-3,12330
P75-center,2026-03-27,2026-03,202603270912,09,12R,0.7809628,1,10,1-3-5,590
P75-center,2026-03-27,2026-03,202603272207,22,07R,0.76639825,0,0,2-5-1,11050
P75-center,2026-03-27,2026-03,202603272110,21,10R,0.76472929,1,3,1-3-2,870
P75-center,2026-03-27,2026-03,202603271203,12,03R,0.76454422,0,0,4-2-3,83040
P75-center,2026-03-28,2026-03,202603280702,07,02R,0.77715432,1,1,1-3-4,1110
P75-center,2026-03-28,2026-03,202603282412,24,12R,0.78129871,1,13,1-3-2,1060
P75-center,2026-03-28,2026-03,202603282305,23,05R,0.76841288,1,6,1-4-5,1140
P75-center,2026-03-28,2026-03,202603282410,24,10R,0.78400576,1,4,1-2-3,780
P75-center,2026-03-28,2026-03,202603281602,16,02R,0.78444038,1,1,1-3-5,450
P75-center,2026-03-29,2026-03,202603291310,13,10R,0.77382704,1,4,1-2-5,1300
P75-center,2026-03-29,2026-03,202603292407,24,07R,0.77691716,1,1,1-3-2,600
P75-center,2026-03-29,2026-03,202603290812,08,12R,0.77728182,1,2,1-2-4,500
P75-center,2026-03-29,2026-03,202603290904,09,04R,0.77830462,0,0,2-3-1,29200
P75-center,2026-03-29,2026-03,202603291308,13,08R,0.77109192,0,0,5-1-2,7710
P75-center,2026-03-30,2026-03,202603300806,08,06R,0.77485285,1,4,1-2-4,930
P75-center,2026-03-30,2026-03,202603301608,16,08R,0.77697864,1,2,1-4-3,1060
P75-center,2026-03-30,2026-03,202603301610,16,10R,0.77706281,0,0,4-1-2,9020
P75-center,2026-03-30,2026-03,202603301605,16,05R,0.77835089,1,2,1-3-4,770
P75-center,2026-03-30,2026-03,202603300612,06,12R,0.78035687,1,2,1-3-2,570
P75-center,2026-03-31,2026-03,202603311912,19,12R,0.77457007,1,2,1-4-2,1300
P75-center,2026-03-31,2026-03,202603312312,23,12R,0.77273226,1,12,1-2-4,1680
P75-center,2026-03-31,2026-03,202603310212,02,12R,0.77902067,1,3,1-2-5,820
P75-center,2026-03-31,2026-03,202603311907,19,07R,0.78188139,0,0,4-2-5,20350
P75-center,2026-03-31,2026-03,202603310207,02,07R,0.76658746,0,0,4-2-3,26960
P75-center,2026-04-01,2026-04,202604012412,24,12R,0.77581944,1,17,1-6-5,7000
P75-center,2026-04-01,2026-04,202604011805,18,05R,0.76484248,1,8,1-6-4,3560
P75-center,2026-04-01,2026-04,202604012406,24,06R,0.75760472,1,8,1-2-6,2830
P75-center,2026-04-01,2026-04,202604011511,15,11R,0.79447593,1,2,1-5-4,1630
P75-center,2026-04-01,2026-04,202604012401,24,01R,0.79595722,1,18,1-5-4,6950
P75-center,2026-04-02,2026-04,202604022402,24,02R,0.77988255,0,0,2-3-1,12910
P75-center,2026-04-02,2026-04,202604022312,23,12R,0.76963698,1,17,1-6-2,6290
P75-center,2026-04-02,2026-04,202604020908,09,08R,0.78389495,0,0,3-2-1,23450
P75-center,2026-04-02,2026-04,202604020205,02,05R,0.76519071,0,0,4-3-1,2330
P75-center,2026-04-02,2026-04,202604022406,24,06R,0.78953671,0,0,4-1-5,13800
P75-center,2026-04-03,2026-04,202604031803,18,03R,0.77750996,1,5,1-2-3,1020
P75-center,2026-04-03,2026-04,202604031810,18,10R,0.77097508,1,3,1-2-3,370
P75-center,2026-04-03,2026-04,202604031203,12,03R,0.78265932,1,2,1-3-4,940
P75-center,2026-04-03,2026-04,202604031504,15,04R,0.76622898,1,18,1-4-2,7990
P75-center,2026-04-03,2026-04,202604031802,18,02R,0.76392127,1,1,1-4-2,640
P75-center,2026-04-04,2026-04,202604041207,12,07R,0.77260685,0,0,2-1-3,1650
P75-center,2026-04-04,2026-04,202604041705,17,05R,0.75805606,1,19,1-2-5,3460
P75-center,2026-04-04,2026-04,202604041212,12,12R,0.79431505,1,4,1-2-3,870
P75-center,2026-04-04,2026-04,202604041508,15,08R,0.75254537,1,2,1-2-4,420
P75-center,2026-04-04,2026-04,202604041704,17,04R,0.74932242,1,3,1-2-3,890
P75-center,2026-04-05,2026-04,202604051208,12,08R,0.77326399,1,5,1-2-3,1700
P75-center,2026-04-05,2026-04,202604051804,18,04R,0.77823311,1,1,1-2-6,780
P75-center,2026-04-05,2026-04,202604050106,01,06R,0.77944992,1,6,1-3-2,1030
P75-center,2026-04-05,2026-04,202604050703,07,03R,0.77047842,1,6,1-2-5,1600
P75-center,2026-04-05,2026-04,202604051602,16,02R,0.76508009,0,0,3-1-6,3590
P75-center,2026-04-06,2026-04,202604061003,10,03R,0.77484894,1,2,1-3-2,610
P75-center,2026-04-06,2026-04,202604060801,08,01R,0.7816168,1,4,1-3-2,760
P75-center,2026-04-06,2026-04,202604062112,21,12R,0.76605617,1,17,1-5-6,7920
P75-center,2026-04-06,2026-04,202604061011,10,11R,0.76496634,1,14,1-4-5,1750
P75-center,2026-04-06,2026-04,202604060909,09,09R,0.76065771,1,3,1-2-3,700
P75-center,2026-04-07,2026-04,202604070912,09,12R,0.77912087,0,0,4-2-6,39780
P75-center,2026-04-07,2026-04,202604072411,24,11R,0.77041118,0,0,2-3-5,14890
P75-center,2026-04-07,2026-04,202604071207,12,07R,0.78182366,0,0,2-5-6,101130
P75-center,2026-04-07,2026-04,202604071704,17,04R,0.76781813,1,2,1-2-5,850
P75-center,2026-04-07,2026-04,202604071205,12,05R,0.78238534,0,0,4-1-6,4750
P75-center,2026-04-08,2026-04,202604081610,16,10R,0.76669033,0,0,4-5-3,112320
P75-center,2026-04-08,2026-04,202604081005,10,05R,0.78351282,1,13,1-3-6,2970
P75-center,2026-04-08,2026-04,202604082410,24,10R,0.76616517,1,4,1-2-4,1000
P75-center,2026-04-08,2026-04,202604080212,02,12R,0.76228119,0,0,2-3-1,11290
P75-center,2026-04-08,2026-04,202604082407,24,07R,0.7593417,1,2,1-3-5,1290
P75-center,2026-04-09,2026-04,202604091512,15,12R,0.76145461,1,6,1-2-3,700
P75-center,2026-04-09,2026-04,202604090709,07,09R,0.75971746,0,0,3-1-6,24010
P75-center,2026-04-09,2026-04,202604092410,24,10R,0.75931977,1,4,1-3-5,1230
P75-center,2026-04-09,2026-04,202604091511,15,11R,0.75509404,0,0,2-1-3,3340
P75-center,2026-04-09,2026-04,202604090711,07,11R,0.79509799,1,1,1-4-3,1000
P75-center,2026-04-10,2026-04,202604101710,17,10R,0.77597802,1,1,1-3-5,900
P75-center,2026-04-10,2026-04,202604102301,23,01R,0.77792247,1,5,1-2-5,1990
P75-center,2026-04-10,2026-04,202604100805,08,05R,0.76411684,1,12,1-3-4,1030
P75-center,2026-04-10,2026-04,202604102302,23,02R,0.79090039,1,8,1-2-5,4230
P75-center,2026-04-10,2026-04,202604101004,10,04R,0.75806046,0,0,5-6-1,1930
P75-center,2026-04-11,2026-04,202604112311,23,11R,0.77733705,0,0,5-4-1,8520
P75-center,2026-04-11,2026-04,202604110705,07,05R,0.77027522,1,7,1-5-4,1950
P75-center,2026-04-11,2026-04,202604111704,17,04R,0.76948271,1,6,1-5-2,1340
P75-center,2026-04-11,2026-04,202604110608,06,08R,0.75753825,1,1,1-4-2,660
P75-center,2026-04-11,2026-04,202604112409,24,09R,0.75703572,0,0,2-1-4,1340
P75-center,2026-04-12,2026-04,202604122305,23,05R,0.77570277,0,0,2-1-6,3590
P75-center,2026-04-12,2026-04,202604122302,23,02R,0.77784495,1,6,1-2-3,1790
P75-center,2026-04-12,2026-04,202604121510,15,10R,0.77934414,1,11,1-5-4,5070
P75-center,2026-04-12,2026-04,202604121106,11,06R,0.79007726,1,6,1-3-6,1340
P75-center,2026-04-12,2026-04,202604122403,24,03R,0.75728577,1,2,1-4-5,720
P75-center,2026-04-13,2026-04,202604131505,15,05R,0.77553681,0,0,4-1-3,4600
P75-center,2026-04-13,2026-04,202604131509,15,09R,0.77690373,0,0,3-1-4,24820
P75-center,2026-04-13,2026-04,202604130604,06,04R,0.76848011,1,1,1-2-5,620
P75-center,2026-04-13,2026-04,202604132212,22,12R,0.78234381,1,2,1-3-4,1720
P75-center,2026-04-13,2026-04,202604132401,24,01R,0.7669772,0,0,3-1-5,1280
P75-center,2026-04-14,2026-04,202604141002,10,02R,0.77019715,0,0,6-2-3,336710
P75-center,2026-04-14,2026-04,202604141709,17,09R,0.76729498,1,6,1-2-4,750
P75-center,2026-04-14,2026-04,202604142211,22,11R,0.78610821,0,0,4-2-5,46020
P75-center,2026-04-14,2026-04,202604140207,02,07R,0.76203841,1,2,1-2-5,2020
P75-center,2026-04-14,2026-04,202604141512,15,12R,0.79241854,1,9,1-6-3,5020
P75-center,2026-04-15,2026-04,202604151012,10,12R,0.77842647,1,14,1-4-5,4160
P75-center,2026-04-15,2026-04,202604151507,15,07R,0.77942807,1,2,1-5-6,1160
P75-center,2026-04-15,2026-04,202604152202,22,02R,0.77006583,1,2,1-5-3,2230
P75-center,2026-04-15,2026-04,202604151001,10,01R,0.76915987,0,0,2-3-4,53200
P75-center,2026-04-15,2026-04,202604150912,09,12R,0.78425985,0,0,2-1-4,8860
P75-center,2026-04-16,2026-04,202604161612,16,12R,0.778392,1,2,1-4-3,1440
P75-center,2026-04-16,2026-04,202604161611,16,11R,0.76781713,1,1,1-2-4,540
P75-center,2026-04-16,2026-04,202604162206,22,06R,0.78352309,1,3,1-2-3,780
P75-center,2026-04-16,2026-04,202604161401,14,01R,0.78366691,0,0,5-3-1,24910
P75-center,2026-04-16,2026-04,202604162112,21,12R,0.78550515,1,1,1-2-5,1200
P75-center,2026-04-17,2026-04,202604171606,16,06R,0.77376971,1,4,1-3-6,590
P75-center,2026-04-17,2026-04,202604170207,02,07R,0.77663032,1,10,1-2-3,1090
P75-center,2026-04-17,2026-04,202604171605,16,05R,0.77096682,1,8,1-4-2,1020
P75-center,2026-04-17,2026-04,202604172102,21,02R,0.7801863,1,3,1-4-5,690
P75-center,2026-04-17,2026-04,202604172306,23,06R,0.78980551,0,0,3-1-4,8540
P75-center,2026-04-18,2026-04,202604180712,07,12R,0.77669894,1,3,1-3-2,910
P75-center,2026-04-18,2026-04,202604180805,08,05R,0.77678897,0,0,2-1-4,2430
P75-center,2026-04-18,2026-04,202604180910,09,10R,0.77757683,1,13,1-3-6,1130
P75-center,2026-04-18,2026-04,202604180801,08,01R,0.77047451,0,0,4-5-1,6930
P75-center,2026-04-18,2026-04,202604182012,20,12R,0.76769603,1,8,1-2-3,1250
P75-center,2026-04-19,2026-04,202604192409,24,09R,0.77287023,0,0,3-1-6,16010
P75-center,2026-04-19,2026-04,202604190706,07,06R,0.77997019,1,6,1-3-4,1610
P75-center,2026-04-19,2026-04,202604192105,21,05R,0.78176076,1,1,1-2-3,330
P75-center,2026-04-19,2026-04,202604191305,13,05R,0.76808803,1,2,1-2-5,710
P75-center,2026-04-19,2026-04,202604192112,21,12R,0.76767271,1,5,1-3-2,730
P75-center,2026-04-20,2026-04,202604201812,18,12R,0.77501517,0,0,4-2-6,38140
P75-center,2026-04-20,2026-04,202604200912,09,12R,0.77566647,0,0,3-4-1,29460
P75-center,2026-04-20,2026-04,202604201802,18,02R,0.77582801,1,1,1-4-3,500
P75-center,2026-04-20,2026-04,202604200908,09,08R,0.77164442,1,1,1-3-4,410
P75-center,2026-04-20,2026-04,202604201311,13,11R,0.78056237,1,4,1-3-2,1230
P75-center,2026-04-21,2026-04,202604210712,07,12R,0.77461512,0,0,5-1-6,28680
P75-center,2026-04-21,2026-04,202604211305,13,05R,0.77629139,1,10,1-2-5,2070
P75-center,2026-04-21,2026-04,202604212101,21,01R,0.77716939,1,5,1-2-4,1250
P75-center,2026-04-21,2026-04,202604212407,24,07R,0.77223088,0,0,3-1-2,1060
P75-center,2026-04-21,2026-04,202604212211,22,11R,0.77865545,1,2,1-3-2,790
P75-center,2026-04-22,2026-04,202604222409,24,09R,0.778941,1,5,1-2-4,1030
P75-center,2026-04-22,2026-04,202604221701,17,01R,0.78016369,1,4,1-4-5,4160
P75-center,2026-04-22,2026-04,202604221712,17,12R,0.76953132,1,5,1-2-3,650
P75-center,2026-04-22,2026-04,202604222410,24,10R,0.76926183,1,4,1-2-3,580
P75-center,2026-04-22,2026-04,202604221705,17,05R,0.78254284,0,0,4-5-1,7990
P75-center,2026-04-23,2026-04,202604231812,18,12R,0.77255606,1,1,1-2-5,790
P75-center,2026-04-23,2026-04,202604231209,12,09R,0.77876085,1,1,1-2-5,440
P75-center,2026-04-23,2026-04,202604230106,01,06R,0.76763605,1,7,1-4-6,1970
P75-center,2026-04-23,2026-04,202604231609,16,09R,0.78238928,0,0,4-6-1,24580
P75-center,2026-04-23,2026-04,202604232411,24,11R,0.76533465,1,7,1-2-4,790
P75-center,2026-04-24,2026-04,202604241803,18,03R,0.77563692,1,3,1-5-3,1120
P75-center,2026-04-24,2026-04,202604242011,20,11R,0.776729,1,3,1-3-2,910
P75-center,2026-04-24,2026-04,202604241812,18,12R,0.77152932,1,10,1-3-5,1360
P75-center,2026-04-24,2026-04,202604241204,12,04R,0.77075396,1,5,1-3-2,570
P75-center,2026-04-24,2026-04,202604240705,07,05R,0.76976601,1,7,1-2-4,1150
P75-center,2026-04-25,2026-04,202604252009,20,09R,0.77476225,1,2,1-5-3,350
P75-center,2026-04-25,2026-04,202604250812,08,12R,0.77588863,0,0,3-1-6,1240
P75-center,2026-04-25,2026-04,202604252101,21,01R,0.7733027,1,3,1-2-6,1610
P75-center,2026-04-25,2026-04,202604250901,09,01R,0.7779856,1,10,1-5-4,1790
P75-center,2026-04-25,2026-04,202604251708,17,08R,0.76973109,1,6,1-3-2,1110
P75-center,2026-04-26,2026-04,202604262107,21,07R,0.77695889,1,1,1-2-6,1550
P75-center,2026-04-26,2026-04,202604260611,06,11R,0.77258926,1,14,1-5-4,3900
P75-center,2026-04-26,2026-04,202604260907,09,07R,0.77807371,1,5,1-2-3,780
P75-center,2026-04-26,2026-04,202604261311,13,11R,0.77954734,1,4,1-3-2,910
P75-center,2026-04-26,2026-04,202604262010,20,10R,0.78000301,1,6,1-3-5,1060
P75-center,2026-04-27,2026-04,202604271812,18,12R,0.77536938,0,0,6-1-3,30930
P75-center,2026-04-27,2026-04,202604272411,24,11R,0.77548668,1,17,1-2-6,1910
P75-center,2026-04-27,2026-04,202604270712,07,12R,0.77141597,1,2,1-4-2,960
P75-center,2026-04-27,2026-04,202604270912,09,12R,0.77876783,1,1,1-2-3,1260
P75-center,2026-04-27,2026-04,202604272010,20,10R,0.77102735,1,5,1-3-2,670
P75-center,2026-04-28,2026-04,202604281209,12,09R,0.7732575,0,0,2-5-4,78920
P75-center,2026-04-28,2026-04,202604280612,06,12R,0.77723443,1,7,1-3-5,1290
P75-center,2026-04-28,2026-04,202604281511,15,11R,0.77134025,1,10,1-4-3,1710
P75-center,2026-04-28,2026-04,202604282310,23,10R,0.77964338,1,14,1-4-5,9940
P75-center,2026-04-28,2026-04,202604280711,07,11R,0.78102977,0,0,3-6-1,51610
P75-center,2026-04-29,2026-04,202604290612,06,12R,0.77595119,1,5,1-4-2,1190
P75-center,2026-04-29,2026-04,202604292404,24,04R,0.77043315,1,6,1-3-4,700
P75-center,2026-04-29,2026-04,202604290807,08,07R,0.78265272,1,10,1-2-4,1350
P75-center,2026-04-29,2026-04,202604292212,22,12R,0.76672667,1,6,1-2-4,880
P75-center,2026-04-29,2026-04,202604290407,04,07R,0.78351266,1,11,1-4-2,2150
P75-center,2026-04-30,2026-04,202604301911,19,11R,0.77470229,0,0,4-5-1,100190
P75-center,2026-04-30,2026-04,202604301506,15,06R,0.77575182,1,8,1-3-6,1260
P75-center,2026-04-30,2026-04,202604302101,21,01R,0.77714753,1,4,1-2-3,360
P75-center,2026-04-30,2026-04,202604301908,19,08R,0.77207008,1,3,1-4-5,570
P75-center,2026-04-30,2026-04,202604302408,24,08R,0.77110931,1,6,1-2-4,1110
P75-center,2026-05-01,2026-05,202605012406,24,06R,0.77714357,0,0,2-4-1,7430
P75-center,2026-05-01,2026-05,202605012412,24,12R,0.777774,0,0,2-1-5,6180
P75-center,2026-05-01,2026-05,202605012209,22,09R,0.77056089,1,6,1-3-4,820
P75-center,2026-05-01,2026-05,202605012212,22,12R,0.78578199,1,8,1-5-6,2770
P75-center,2026-05-01,2026-05,202605012005,20,05R,0.76267204,1,7,1-5-4,2440
P75-center,2026-05-02,2026-05,202605021710,17,10R,0.77456828,1,15,1-3-4,2190
P75-center,2026-05-02,2026-05,202605021811,18,11R,0.77449654,1,5,1-5-3,3140
P75-center,2026-05-02,2026-05,202605020504,05,04R,0.77432328,0,0,6-4-5,20900
P75-center,2026-05-02,2026-05,202605021902,19,02R,0.77295389,1,10,1-2-4,1730
P75-center,2026-05-02,2026-05,202605022205,22,05R,0.77842283,1,11,1-3-4,2140
P75-center,2026-05-03,2026-05,202605031111,11,11R,0.77265422,1,13,1-3-6,5960
P75-center,2026-05-03,2026-05,202605031608,16,08R,0.7796009,0,0,5-1-3,9190
P75-center,2026-05-03,2026-05,202605032008,20,08R,0.76753033,0,0,3-1-4,8950
P75-center,2026-05-03,2026-05,202605031609,16,09R,0.78509132,1,1,1-2-6,420
P75-center,2026-05-03,2026-05,202605032005,20,05R,0.76452718,1,11,1-6-4,3120
P75-center,2026-05-04,2026-05,202605042312,23,12R,0.77348126,1,5,1-4-2,830
P75-center,2026-05-04,2026-05,202605041710,17,10R,0.77662054,1,5,1-2-4,1120
P75-center,2026-05-04,2026-05,202605040801,08,01R,0.78077846,1,4,1-2-3,600
P75-center,2026-05-04,2026-05,202605040712,07,12R,0.76889268,1,7,1-2-3,1210
P75-center,2026-05-04,2026-05,202605041205,12,05R,0.76410411,1,10,1-3-5,1410
P75-center,2026-05-05,2026-05,202605052301,23,01R,0.77548444,1,10,1-4-5,1990
P75-center,2026-05-05,2026-05,202605050806,08,06R,0.77185634,1,2,1-3-5,510
P75-center,2026-05-05,2026-05,202605051208,12,08R,0.77161216,0,0,2-1-3,1040
P75-center,2026-05-05,2026-05,202605052005,20,05R,0.77076844,1,5,1-2-6,2290
P75-center,2026-05-05,2026-05,202605051511,15,11R,0.77987862,1,10,1-6-2,7740
P75-center,2026-05-06,2026-05,202605062010,20,10R,0.77458197,0,0,2-1-5,7430
P75-center,2026-05-06,2026-05,202605060907,09,07R,0.77183857,1,1,1-3-4,350
P75-center,2026-05-06,2026-05,202605061801,18,01R,0.77856111,1,12,1-3-2,1350
P75-center,2026-05-06,2026-05,202605060109,01,09R,0.77911954,1,18,1-3-5,2750
P75-center,2026-05-06,2026-05,202605061610,16,10R,0.77035595,0,0,5-1-2,7500
P75-center,2026-05-07,2026-05,202605070412,04,12R,0.76633914,1,11,1-2-4,1350
P75-center,2026-05-07,2026-05,202605071209,12,09R,0.76247332,0,0,2-1-3,3510
P75-center,2026-05-07,2026-05,202605072410,24,10R,0.76033699,1,1,1-2-4,770
P75-center,2026-05-07,2026-05,202605072409,24,09R,0.79027118,1,2,1-3-6,730
P75-center,2026-05-07,2026-05,202605071205,12,05R,0.75670796,1,1,1-6-4,1270
P75-center,2026-05-08,2026-05,202605081307,13,07R,0.77294332,0,0,3-5-1,9340
P75-center,2026-05-08,2026-05,202605081308,13,08R,0.77228191,1,7,1-2-4,1850
P75-center,2026-05-08,2026-05,202605081512,15,12R,0.77940556,1,12,1-2-3,840
P75-center,2026-05-08,2026-05,202605080812,08,12R,0.76958171,1,1,1-2-3,620
P75-center,2026-05-08,2026-05,202605081810,18,10R,0.76562466,0,0,2-6-4,217490
P75-center,2026-05-09,2026-05,202605090510,05,10R,0.77346617,1,1,1-2-5,590
P75-center,2026-05-09,2026-05,202605092006,20,06R,0.78229133,0,0,4-1-6,13190
P75-center,2026-05-09,2026-05,202605092407,24,07R,0.7669278,1,7,1-4-5,1950
P75-center,2026-05-09,2026-05,202605090507,05,07R,0.76638567,1,18,1-5-3,8770
P75-center,2026-05-09,2026-05,202605091307,13,07R,0.78578132,1,14,1-3-4,2170
P75-center,2026-05-10,2026-05,202605101503,15,03R,0.77925259,1,1,1-3-4,540
P75-center,2026-05-10,2026-05,202605101506,15,06R,0.7695359,1,20,1-4-2,1360
P75-center,2026-05-10,2026-05,202605102410,24,10R,0.78064884,1,8,1-2-6,2690
P75-center,2026-05-10,2026-05,202605101512,15,12R,0.78214691,1,1,1-2-6,1880
P75-center,2026-05-10,2026-05,202605101505,15,05R,0.78237271,1,5,1-3-5,870
P75-center,2026-05-11,2026-05,202605110812,08,12R,0.77571594,1,17,1-3-2,1770
P75-center,2026-05-11,2026-05,202605111611,16,11R,0.77704513,1,4,1-2-5,950
P75-center,2026-05-11,2026-05,202605111205,12,05R,0.77892164,1,5,1-3-4,820
P75-center,2026-05-11,2026-05,202605112006,20,06R,0.7799885,1,7,1-4-2,2510
